episode,reward,avg_reward,step_count,reached_target,distance_to_target
247,-10.345398095540563,-8.19545603240478,250,False,1.1137031
248,-7.036591423515272,-8.186610834654234,250,False,1.3099747
249,-9.741496081495434,-8.093402670353067,250,False,1.2283001
250,-8.04895656550395,-8.445739398496167,250,False,1.4702908
251,-3.5178705159123407,-8.280237426183481,250,False,0.57087415
252,-1.7169436269483298,-7.865650393934497,250,False,0.39434955
253,-8.334311523261995,-7.701955100371083,250,False,0.9465852
254,-11.032352689272564,-8.311025843053685,250,False,0.8951174
255,-10.472906000417856,-8.135721366294458,250,False,1.5220782
256,1.9533875928941054,-6.82934389289742,250,True,0.5850016
257,-5.880715662489659,-6.38287564959233,250,False,1.331314
258,-3.311851687786935,-6.010401676019495,250,False,0.78807265
259,-11.463111380501026,-6.182563205920055,250,False,1.4586757
260,-12.049663644166813,-6.582633913786341,250,False,1.5252284
261,-9.377316506694992,-7.168578512864606,250,False,1.4579391
262,-2.08821051707983,-7.205705201877757,250,False,0.33694616
263,-5.603094603007524,-6.93258350985231,250,False,0.9821466
264,-15.955062296806311,-7.424854470605683,250,False,0.5638277
265,-5.421701005512852,-6.919733971115184,250,False,0.94055647
266,-3.933604809718048,-7.508433211376399,250,False,0.46688494
267,-5.179020169957948,-7.438263662123229,250,False,0.60717446
268,-7.136754229477613,-7.820753916292295,250,False,0.73386115
269,-17.55331200088151,-8.429773978330344,250,False,1.579585
270,-2.4194875409336514,-7.466756368007028,250,False,0.6694537
271,-7.449323803473872,-7.273957097684916,250,False,0.7203065
272,-12.848740357581871,-8.35001008173512,250,False,1.170949
273,-17.469323430208483,-9.536632964455217,250,False,0.9347431
274,-4.6460233895436085,-8.405729073728946,250,False,0.9375249
275,-12.941789204803758,-9.157737893658036,250,False,1.2493626
276,-11.683585121014607,-9.932735924787691,250,False,1.4362996
277,-6.075093121360857,-10.022343219927981,250,False,0.46895748
278,-7.958623981118708,-10.10453019509209,250,False,0.47161907
279,-6.568829021213793,-9.00608189712532,250,False,0.84059906
280,-10.629788644829818,-9.827112007514938,250,False,1.4120355
281,-7.6123574551763475,-9.843415372685184,250,False,0.850136
282,-8.77642605190597,-9.436183942117596,250,False,0.6285891
283,-15.002516853887075,-9.189503284485454,250,False,1.0724046
284,-3.193600523246727,-9.044260997855766,250,False,0.9242028
285,-13.747817778810626,-9.124863855256454,250,False,1.4139152
286,-5.526657982007618,-8.509171141355754,250,False,0.8262499
287,-14.553927051162638,-9.357054534335933,250,False,1.0752798
288,-20.266835780196708,-10.587875714243733,250,False,2.6381266
289,-2.278591812711723,-10.158851993393524,250,False,0.27268538
290,-5.5637900337761685,-9.652252132288162,250,False,1.1301136
291,-11.518373613556282,-10.042853748126154,250,False,1.1177438
292,-4.169657760645954,-9.582176919000153,250,False,0.58838093
293,-7.504087606017248,-8.832333994213169,250,False,0.9632411
294,-10.417477453166118,-9.554721687205108,250,False,0.6725094
295,-2.725613068297611,-8.452501216153806,250,False,0.52384853
296,-10.548653616217724,-8.954700779574818,250,False,1.1858447
297,-6.123090507440172,-8.111617125202569,250,False,0.85035163
298,-3.461630083632189,-6.4310965555461195,250,False,0.6395007
299,-11.538256635664217,-7.357063037841368,250,False,1.0980953
300,-10.850493046094861,-7.885733339073238,250,False,1.1675599
301,-7.347416707425966,-7.468637648460205,250,False,0.7825626
302,-6.194063935861945,-7.671078265981805,250,False,0.5715599
303,-3.9969157213567006,-7.32036107751575,250,False,0.82032174
304,-11.394672531012969,-7.4180805853004355,250,False,1.6671096
305,-15.433824928313333,-8.688901771302007,250,False,1.1983632
306,-10.111486654515302,-8.645185075131765,250,False,1.2108618
307,-15.1627030788819,-9.549146332275939,250,False,0.9480202
308,-11.902851611018772,-10.393268485014598,250,False,1.1701484
309,-11.929763444255986,-10.432419165873773,250,False,1.1348257
310,-6.306738510343262,-9.978043712298614,250,False,0.74805164
311,-5.054771997232126,-9.748779241279228,250,False,0.6855747
312,-7.093453503259681,-9.838718198019004,250,False,1.2428515
313,-11.015631231622265,-10.54058974904556,250,False,1.0680836
